natural_gas,natural_gas_ccs,nuclear,solar_pv,onshore_wind,fixed_offshore_wind,float_offshore_wind,battery,Time_Index
1.0,1.0,1.0,0.145344,0.4101,0.7039,0.7039,1.0,201
1.0,1.0,1.0,0.309987,0.3639,0.6489,0.6489,1.0,202
1.0,1.0,1.0,0.555137,0.3886,0.5834,0.5834,1.0,203
1.0,1.0,1.0,0.594894,0.3722,0.4636,0.4636,1.0,204
1.0,1.0,1.0,0.462815,0.3287,0.3391,0.3391,1.0,205
1.0,1.0,1.0,0.263675,0.3277,0.3131,0.3131,1.0,206
1.0,1.0,1.0,0.092795,0.5146,0.5581,0.5581,1.0,207
1.0,1.0,1.0,0.235856,0.3698,0.4241,0.4241,1.0,208
1.0,1.0,1.0,0.490668,0.4372,0.4739,0.4739,1.0,209
1.0,1.0,1.0,0.318187,0.466,0.4439,0.4439,1.0,210
1.0,1.0,1.0,0.178839,0.5221,0.4058,0.4058,1.0,211
1.0,1.0,1.0,0.071953,0.5889,0.5065,0.5065,1.0,212
1.0,1.0,1.0,0.199945,0.4878,0.3264,0.3264,1.0,213
1.0,1.0,1.0,0.450728,0.3817,0.2712,0.2712,1.0,214
1.0,1.0,1.0,0.507053,0.3342,0.1908,0.1908,1.0,215
1.0,1.0,1.0,0.372377,0.343,0.0909,0.0909,1.0,216
1.0,1.0,1.0,0.203371,0.4325,0.1083,0.1083,1.0,217
1.0,1.0,1.0,0.038435,0.8079,0.6596,0.6596,1.0,218
1.0,1.0,1.0,0.030281,0.7241,0.6589,0.6589,1.0,219
1.0,1.0,1.0,0.14584,0.6854,0.6906,0.6906,1.0,220
1.0,1.0,1.0,0.387625,0.6881,0.8011,0.8011,1.0,221
1.0,1.0,1.0,0.639195,0.7457,0.8877,0.8877,1.0,222
1.0,1.0,1.0,0.36806,0.7705,0.8942,0.8942,1.0,223
1.0,1.0,1.0,0.061228,0.7486,0.8948,0.8948,1.0,224
1.0,1.0,1.0,0.179851,0.4402,0.4055,0.4055,1.0,225
1.0,1.0,1.0,0.29763,0.4757,0.3744,0.3744,1.0,226
1.0,1.0,1.0,0.441727,0.559,0.3233,0.3233,1.0,227
1.0,1.0,1.0,0.245652,0.4641,0.242,0.242,1.0,228
1.0,1.0,1.0,0.181725,0.5938,0.2547,0.2547,1.0,229
1.0,1.0,1.0,0.320885,0.6219,0.5003,0.5003,1.0,230
1.0,1.0,1.0,0.022446,0.3405,0.1415,0.1415,1.0,231
1.0,1.0,1.0,0.261359,0.5803,0.2867,0.2867,1.0,232
1.0,1.0,1.0,0.361485,0.1794,0.2047,0.2047,1.0,233
1.0,1.0,1.0,0.629288,0.1936,0.1664,0.1664,1.0,234
1.0,1.0,1.0,0.492567,0.198,0.1516,0.1516,1.0,235
1.0,1.0,1.0,0.262405,0.4601,0.4063,0.4063,1.0,236
1.0,1.0,1.0,0.452339,0.2862,0.2596,0.2596,1.0,237
1.0,1.0,1.0,0.563489,0.2302,0.3802,0.3802,1.0,238
1.0,1.0,1.0,0.700234,0.2219,0.4417,0.4417,1.0,239
1.0,1.0,1.0,0.626808,0.2049,0.5536,0.5536,1.0,240
1.0,1.0,1.0,0.497003,0.2063,0.6002,0.6002,1.0,241
1.0,1.0,1.0,0.321564,0.1993,0.6131,0.6131,1.0,242
1.0,1.0,1.0,0.203823,0.8112,0.9044,0.9044,1.0,243
1.0,1.0,1.0,0.32476,0.7833,0.8999,0.8999,1.0,244
1.0,1.0,1.0,0.496,0.7281,0.8873,0.8873,1.0,245
1.0,1.0,1.0,0.324585,0.6537,0.8931,0.8931,1.0,246
1.0,1.0,1.0,0.21486,0.7043,0.8838,0.8838,1.0,247
1.0,1.0,1.0,0.126681,0.7959,0.9079,0.9079,1.0,248
1.0,1.0,1.0,0.392854,0.7761,0.9042,0.9042,1.0,249
1.0,1.0,1.0,0.502623,0.8051,0.8968,0.8968,1.0,250
1.0,1.0,1.0,0.385521,0.7901,0.8893,0.8893,1.0,251
1.0,1.0,1.0,0.191126,0.6941,0.8875,0.8875,1.0,252
1.0,1.0,1.0,0.000402,0.2011,0.3764,0.3764,1.0,253
1.0,1.0,1.0,0.208234,0.5803,0.2937,0.2937,1.0,254
1.0,1.0,1.0,0.0,0.3154,0.214,0.214,1.0,255
1.0,1.0,1.0,0.131645,0.638,0.8682,0.8682,1.0,256
1.0,1.0,1.0,0.076417,0.5482,0.6922,0.6922,1.0,257
1.0,1.0,1.0,0.278105,0.4609,0.6545,0.6545,1.0,258
1.0,1.0,1.0,0.479613,0.4217,0.669,0.669,1.0,259
1.0,1.0,1.0,0.647639,0.4629,0.6061,0.6061,1.0,260
1.0,1.0,1.0,0.614617,0.5123,0.4037,0.4037,1.0,261
1.0,1.0,1.0,0.440285,0.455,0.3916,0.3916,1.0,262
1.0,1.0,1.0,0.333399,0.4986,0.411,0.411,1.0,263
1.0,1.0,1.0,0.170426,0.5353,0.5607,0.5607,1.0,264
1.0,1.0,1.0,0.053064,0.5321,0.6298,0.6298,1.0,265
1.0,1.0,1.0,0.000202,0.5961,0.6972,0.6972,1.0,266
1.0,1.0,1.0,0.0,0.7431,0.6377,0.6377,1.0,267
1.0,1.0,1.0,0.083512,0.7817,0.5221,0.5221,1.0,268
1.0,1.0,1.0,0.300489,0.6865,0.4033,0.4033,1.0,269
1.0,1.0,1.0,0.392373,0.6175,0.3372,0.3372,1.0,270
1.0,1.0,1.0,0.092146,0.6258,0.1902,0.1902,1.0,271
1.0,1.0,1.0,0.011054,0.7306,0.7468,0.7468,1.0,272
1.0,1.0,1.0,0.139629,0.4969,0.7495,0.7495,1.0,273
1.0,1.0,1.0,0.311142,0.4739,0.7262,0.7262,1.0,274
1.0,1.0,1.0,0.494006,0.519,0.7357,0.7357,1.0,275
1.0,1.0,1.0,0.659667,0.5883,0.6866,0.6866,1.0,276
1.0,1.0,1.0,0.335896,0.5799,0.6968,0.6968,1.0,277
1.0,1.0,1.0,0.114337,0.5836,0.7507,0.7507,1.0,278
1.0,1.0,1.0,0.258154,0.6785,0.8085,0.8085,1.0,279
1.0,1.0,1.0,0.428147,0.109,0.0213,0.0213,1.0,280
1.0,1.0,1.0,0.705714,0.0475,0.0329,0.0329,1.0,281
1.0,1.0,1.0,0.538873,0.0559,0.0783,0.0783,1.0,282
1.0,1.0,1.0,0.418396,0.0725,0.1408,0.1408,1.0,283
1.0,1.0,1.0,0.205597,0.5798,0.8537,0.8537,1.0,284
1.0,1.0,1.0,0.0,0.3031,0.706,0.706,1.0,285
1.0,1.0,1.0,0.0,0.3027,0.5786,0.5786,1.0,286
1.0,1.0,1.0,0.005756,0.2532,0.4869,0.4869,1.0,287
1.0,1.0,1.0,0.172579,0.156,0.4712,0.4712,1.0,288
1.0,1.0,1.0,0.331523,0.129,0.4489,0.4489,1.0,289
1.0,1.0,1.0,0.481425,0.1443,0.42,0.42,1.0,290
1.0,1.0,1.0,0.564838,0.1564,0.4917,0.4917,1.0,291
1.0,1.0,1.0,0.469507,0.1706,0.6037,0.6037,1.0,292
1.0,1.0,1.0,0.312643,0.128,0.7401,0.7401,1.0,293
1.0,1.0,1.0,0.13371,0.1331,0.7568,0.7568,1.0,294
1.0,1.0,1.0,0.038909,0.5201,0.882,0.882,1.0,295
1.0,1.0,1.0,0.106356,0.1317,0.8552,0.8552,1.0,296
1.0,1.0,1.0,0.183821,0.1152,0.7971,0.7971,1.0,297
1.0,1.0,1.0,0.288567,0.0758,0.7157,0.7157,1.0,298
1.0,1.0,1.0,0.474496,0.2578,0.7438,0.7438,1.0,299
1.0,1.0,1.0,0.296129,0.3273,0.7779,0.7779,1.0,300
