Time_Index,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
257,1.0,1.0,1.0,0.2368,0.60289675,0.213,0.794496119,1.0,1.0,1.0
258,1.0,1.0,1.0,0.0,0.308621526,0.0,0.891139507,1.0,1.0,1.0
259,1.0,1.0,1.0,0.0,0.36514309,0.0,0.947707772,1.0,1.0,1.0
260,1.0,1.0,1.0,0.0,0.347624421,0.0,0.780265868,1.0,1.0,1.0
261,1.0,1.0,1.0,0.0,0.44623059,0.0,0.706462741,1.0,1.0,1.0
262,1.0,1.0,1.0,0.0,0.336039752,0.0,0.755564213,1.0,1.0,1.0
263,1.0,1.0,1.0,0.0,0.319225818,0.0,0.764291883,1.0,1.0,1.0
264,1.0,1.0,1.0,0.0,0.133085489,0.0,0.769854546,1.0,1.0,1.0
265,1.0,1.0,1.0,0.0,0.024355069,0.0,0.748682261,1.0,1.0,1.0
266,1.0,1.0,1.0,0.0,0.087464668,0.0,0.722473741,1.0,1.0,1.0
267,1.0,1.0,1.0,0.0,0.129747748,0.0,0.784560621,1.0,1.0,1.0
268,1.0,1.0,1.0,0.0,0.054570939,0.0,0.793878376,1.0,1.0,1.0
269,1.0,1.0,1.0,0.0,0.09787365,0.0,0.748106122,1.0,1.0,1.0
270,1.0,1.0,1.0,0.0,0.071352124,0.0,0.791063488,1.0,1.0,1.0
271,1.0,1.0,1.0,0.0,0.007259607,0.0,0.71205759,1.0,1.0,1.0
272,1.0,1.0,1.0,0.0,0.012448314,0.0,0.601690769,1.0,1.0,1.0
273,1.0,1.0,1.0,0.2891,0.014655897,0.268,0.663625062,1.0,1.0,1.0
274,1.0,1.0,1.0,0.5073,0.005770348,0.5038,0.511986375,1.0,1.0,1.0
275,1.0,1.0,1.0,0.6627,0.01502922,0.6629,0.386501193,1.0,1.0,1.0
276,1.0,1.0,1.0,0.7274,0.000105199,0.7289,0.195842817,1.0,1.0,1.0
277,1.0,1.0,1.0,0.7364,0.009040426,0.7458,0.31197384,1.0,1.0,1.0
278,1.0,1.0,1.0,0.7298,0.076620802,0.7384,0.579322457,1.0,1.0,1.0
279,1.0,1.0,1.0,0.6666,0.114635564,0.6868,0.515212178,1.0,1.0,1.0
280,1.0,1.0,1.0,0.508,0.259471357,0.5375,0.520608842,1.0,1.0,1.0
281,1.0,1.0,1.0,0.2905,0.266631514,0.3275,0.500415802,1.0,1.0,1.0
282,1.0,1.0,1.0,0.0,0.553913593,0.0084,0.579055548,1.0,1.0,1.0
283,1.0,1.0,1.0,0.0,0.456685781,0.0,0.742592216,1.0,1.0,1.0
284,1.0,1.0,1.0,0.0,0.455366284,0.0,0.782880664,1.0,1.0,1.0
285,1.0,1.0,1.0,0.0,0.599906921,0.0,0.738973796,1.0,1.0,1.0
286,1.0,1.0,1.0,0.0,0.550957739,0.0,0.841824532,1.0,1.0,1.0
287,1.0,1.0,1.0,0.0,0.597440004,0.0,0.928091645,1.0,1.0,1.0
288,1.0,1.0,1.0,0.0,0.576802969,0.0,0.936562538,1.0,1.0,1.0
289,1.0,1.0,1.0,0.0,0.259640664,0.0,0.899250269,1.0,1.0,1.0
