CO2,MinCapReq,UCommit,epsilon,repetition,total_cost,Run_time,Time_Indexes,Build_model_time,write_outputs_time
2,0,1,1.0,3.0,7981226447.249066,0.04883112907409663,30.0,0.080949695,0.077915261
2,1,0,0.02559659,3.0,18894851147.722458,82.45226159095765,8743.0,258.4255527116,10.0470643572
2,1,0,0.04404403,3.0,18894851147.71968,124.2135793209076,8715.0,287.0129702062,6.885208534199999
2,1,0,0.08093892,3.0,18894851133.16854,104.6610348701477,8631.0,258.91644505960005,7.7755318116
2,1,0,0.10553551,3.0,18894851131.720108,95.67070178985595,8537.0,298.1207194542,8.6073041296
2,1,0,0.12398295,3.0,18894851129.12531,112.01235208511352,8465.0,290.3101211544,8.8132649574
2,1,0,0.1424304,3.0,18894848192.517647,94.15560479164124,8358.0,234.3869771142,5.6917963734
2,1,0,0.16087784,3.0,18894822856.85308,76.53578901290894,8206.0,226.49822491260002,5.1574157210000005
2,1,0,0.19162358,3.0,18889846804.00514,116.35137505531311,7946.0,242.6251431946,7.9540765125999995
2,1,0,0.23466761,3.0,18878024153.893257,88.01499705314636,7525.0,195.4123476012,5.2151186836
2,1,0,0.27771164,3.0,18877849251.92849,70.79567608833312,6924.0,165.3062673914,4.8526468812
2,1,0,0.31460653,3.0,18870687173.720783,51.14463624954224,6106.0,125.4336717804,4.30998695
2,1,0,0.38224715,3.0,18869537616.20742,33.33607563972473,4624.0,73.5387988074,3.3985131272
2,1,0,0.57974331,3.0,21075594250.955395,4.714760208129883,1438.0,7.173200431000001,0.9993291038000001
2,1,0,0.78987166,3.0,11830947168.498808,0.7895759582519531,213.0,0.26757469619999996,0.191886613
2,1,0,1.0,3.0,6725028734.809855,0.0789254188537597,30.0,0.18411264919999998,0.198097231
2,1,1,0.04404403,3.0,11205489169.612211,3613.9725336551664,8715.0,1071.8729076456,8.9986404414
2,1,1,0.08093892,1.0,11175849021.776323,49156.56392002106,8631.0,832.524658262,29.805958395
2,1,1,0.10553551,3.0,11180327624.236189,3613.777526950836,8537.0,1013.6940585922,11.330705985
2,1,1,0.12398295,3.0,11182250492.216255,3610.6331177711486,8465.0,908.3982238514,8.3406424872
2,1,1,0.19162358,3.0,11548933432.856672,3614.910737991333,7946.0,845.8213139478,9.623290155400001
2,1,1,0.27771164,3.0,11613816839.18963,3610.368700027466,6924.0,566.5754334167999,6.0300666444
2,1,1,0.31460653,3.0,11820357537.862549,3606.9677296161653,6106.0,464.146095797,5.3465303046
2,1,1,0.38224715,3.0,11898256487.579668,3602.4504911422728,4624.0,247.7494648412,3.3286538456000003
2,1,1,0.57974331,3.0,11553916066.816198,3600.7923296451568,1438.0,22.678594872399998,1.1142588848
2,1,1,0.78987166,3.0,434301094822.77673,1.0932079792022704,213.0,0.6742097398,0.30758711920000004
2,1,1,1.0,3.0,7981226447.249066,0.04957561492919918,30.0,0.0825479918,0.0643917862
