$/MWh,Cost_of_Demand_Curtailment_per_MW,Demand_Segment,Max_Demand_Curtailment,Rep_Periods,Sub_Weights,Timesteps_per_Rep_Period,Voll,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Rel_TimeStep
,,,,,,,,322.0,10098.0,2884.0,1377.0,1.0
,,,,,,,,323.0,8762.0,2502.2727272727275,1194.2727272727273,11.0
,,,,,,,,324.0,8561.0,2445.0,1167.0,1.0
,,,,,,,,325.0,9775.0,2791.0,1332.0,1.0
,,,,,,,,326.0,10421.0,2976.0,1421.0,1.0
,,,,,,,,327.0,10491.0,2996.0,1430.0,1.0
,,,,,,,,328.0,10455.0,2985.0,1425.0,1.0
,,,,,,,,329.0,10366.0,2960.5,1413.0,2.0
,,,,,,,,330.0,10163.0,2902.5,1385.5,2.0
,,,,,,,,331.0,9985.0,2851.5,1361.5,2.0
,,,,,,,,332.0,10280.0,2936.0,1402.0,1.0
,,,,,,,,333.0,8874.07142857143,2534.285714285714,1209.642857142857,14.0
,,,,,,,,334.0,9931.0,2836.0,1354.0,1.0
,,,,,,,,335.0,9888.888888888889,2824.222222222222,1348.3333333333333,9.0
,,,,,,,,336.0,10518.0,3004.0,1434.0,1.0
,,,,,,,,337.0,9219.466666666667,2633.0,1256.8,15.0
,,,,,,,,338.0,10906.0,3114.6,1487.0,5.0
,,,,,,,,339.0,10800.5,3085.0,1472.0,2.0
,,,,,,,,340.0,10991.0,3139.0,1499.0,1.0
,,,,,,,,341.0,11525.0,3291.0,1571.0,1.0
,,,,,,,,342.0,11867.0,3389.0,1618.0,1.0
,,,,,,,,343.0,10257.2,2929.2,1398.2,5.0
,,,,,,,,344.0,8239.57142857143,2353.0,1123.142857142857,7.0
,,,,,,,,345.0,10509.0,3001.0,1433.0,1.0
,,,,,,,,346.0,10720.0,3061.0,1461.0,1.0
,,,,,,,,347.0,10627.57142857143,3034.8571428571427,1448.7142857142858,7.0
,,,,,,,,348.0,10593.0,3025.0,1444.0,1.0
,,,,,,,,349.0,11080.0,3165.0,1510.0,1.0
,,,,,,,,350.0,11311.0,3231.0,1542.0,1.0
,,,,,,,,351.0,8701.933333333332,2485.0,1186.1333333333334,15.0
,,,,,,,,352.0,9952.333333333334,2842.3333333333335,1357.0,3.0
,,,,,,,,353.0,9583.0,2737.0,1307.0,1.0
,,,,,,,,354.0,9292.0,2654.0,1267.0,1.0
,,,,,,,,355.0,9120.5,2605.0,1243.5,2.0
,,,,,,,,356.0,8310.615384615385,2373.5384615384614,1132.923076923077,13.0
,,,,,,,,357.0,7482.0,2137.0,1020.0,1.0
,,,,,,,,358.0,7921.0,2262.0,1080.0,1.0
,,,,,,,,359.0,8559.0,2444.0,1166.0,1.0
,,,,,,,,360.0,9230.333333333334,2636.1666666666665,1258.1666666666667,6.0
,,,,,,,,361.0,9230.5,2636.0,1258.0,2.0
,,,,,,,,362.0,9973.0,2849.0,1360.0,1.0
,,,,,,,,363.0,8659.153846153846,2472.846153846154,1180.5384615384614,13.0
,,,,,,,,364.0,10309.0,2944.0,1405.0,1.0
,,,,,,,,365.0,10445.0,2983.0,1424.0,1.0
,,,,,,,,366.0,10471.0,2991.0,1428.0,1.0
,,,,,,,,367.0,10451.5,2985.0,1424.5,2.0
,,,,,,,,368.0,10262.0,2930.0,1399.0,1.0
,,,,,,,,369.0,10062.5,2874.0,1371.5,2.0
,,,,,,,,370.0,9935.0,2838.0,1354.0,1.0
,,,,,,,,371.0,10160.0,2902.0,1385.0,1.0
,,,,,,,,372.0,10845.0,3097.0,1479.0,1.0
,,,,,,,,373.0,11537.0,3294.5,1573.0,2.0
,,,,,,,,374.0,8964.636363636364,2560.2727272727275,1222.1818181818182,11.0
,,,,,,,,375.0,10759.0,3072.0,1467.0,1.0
,,,,,,,,376.0,10816.0,3089.0,1474.0,1.0
,,,,,,,,377.0,10701.0,3056.0,1459.0,1.0
,,,,,,,,378.0,10609.0,3030.0,1446.0,2.0
,,,,,,,,379.0,10376.0,2963.0,1414.0,1.0
,,,,,,,,380.0,10109.75,2887.25,1378.5,4.0
,,,,,,,,381.0,10717.0,3060.0,1461.0,1.0
,,,,,,,,382.0,11404.5,3257.0,1555.0,2.0
,,,,,,,,383.0,10960.0,3130.0,1494.0,1.0
,,,,,,,,384.0,10247.0,2926.0,1397.0,1.0
,,,,,,,,385.0,9288.0,2653.0,1267.0,1.0
,,,,,,,,386.0,8437.0,2409.0,1150.0,1.0
,,,,,,,,387.0,8049.0,2298.8571428571427,1097.4285714285713,7.0
,,,,,,,,388.0,10166.0,2903.0,1386.0,1.0
,,,,,,,,389.0,10185.0,2909.0,1388.0,1.0
,,,,,,,,390.0,10116.0,2890.0,1379.0,1.0
,,,,,,,,391.0,9928.666666666666,2835.3333333333335,1353.6666666666667,3.0
,,,,,,,,392.0,9707.0,2772.0,1323.0,1.0
,,,,,,,,393.0,9530.0,2722.0,1299.0,1.0
,,,,,,,,394.0,9443.0,2697.0,1288.0,1.0
,,,,,,,,395.0,9574.0,2734.0,1305.0,1.0
,,,,,,,,396.0,8551.333333333334,2442.0666666666666,1165.8,15.0
,,,,,,,,397.0,9590.0,2739.0,1308.0,1.0
,,,,,,,,398.0,9585.833333333334,2737.6666666666665,1306.6666666666667,6.0
,,,,,,,,399.0,9358.0,2673.0,1276.0,1.0
,,,,,,,,400.0,9474.0,2705.0,1292.0,1.0
,,,,,,,,401.0,8376.125,2392.25,1141.9375,16.0
,,,,,,,,402.0,9797.0,2798.0,1336.0,1.0
,,,,,,,,403.0,9842.0,2810.0,1342.0,1.0
,,,,,,,,404.0,9789.0,2795.0,1334.0,1.0
,,,,,,,,405.0,9502.75,2713.75,1295.5,4.0
,,,,,,,,406.0,9691.5,2767.5,1321.0,2.0
