Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,omega,Rel_TimeStep
,,,,,,,,251,10722.0,3062.0,1462.0,11.030219780219781,1
,,,,,,,,252,10601.0,3028.0,1445.0,11.030219780219781,1
,,,,,,,,253,10436.0,2980.0,1423.0,11.030219780219781,1
,,,,,,,,254,10348.0,2955.0,1411.0,11.030219780219781,1
,,,,,,,,255,10257.0,2930.0,1398.0,11.030219780219781,1
,,,,,,,,256,10355.0,2957.0,1412.0,11.030219780219781,1
,,,,,,,,257,10783.0,3080.0,1470.0,11.030219780219781,1
,,,,,,,,258,11617.0,3318.0,1584.0,11.030219780219781,1
,,,,,,,,259,11749.0,3356.0,1602.0,11.030219780219781,1
,,,,,,,,260,11456.0,3271.0,1562.0,11.030219780219781,1
,,,,,,,,261,11004.0,3143.0,1500.0,11.030219780219781,1
,,,,,,,,262,10258.0,2930.0,1398.0,11.030219780219781,1
,,,,,,,,263,9264.0,2646.0,1263.0,11.030219780219781,1
,,,,,,,,264,8424.0,2406.0,1148.0,11.030219780219781,1
,,,,,,,,265,7872.0,2249.0,1073.0,11.030219780219781,1
,,,,,,,,266,7595.0,2169.0,1035.0,11.030219780219781,1
,,,,,,,,267,7465.0,2132.0,1018.0,11.030219780219781,1
,,,,,,,,268,7474.0,2134.0,1019.0,11.030219780219781,1
,,,,,,,,269,7725.0,2206.0,1053.0,11.030219780219781,1
,,,,,,,,270,8508.0,2429.0,1160.0,11.030219780219781,1
,,,,,,,,271,9893.0,2825.0,1349.0,11.030219780219781,1
,,,,,,,,272,10531.0,3008.0,1436.0,11.030219780219781,1
,,,,,,,,273,10533.0,3008.0,1436.0,11.030219780219781,1
,,,,,,,,274,10448.0,2984.0,1424.0,11.030219780219781,1
,,,,,,,,275,10389.0,2967.0,1416.0,11.030219780219781,1
,,,,,,,,276,10273.0,2934.0,1401.0,11.030219780219781,1
,,,,,,,,277,10107.0,2886.0,1378.0,11.030219780219781,1
,,,,,,,,278,10000.0,2856.0,1363.0,11.030219780219781,1
,,,,,,,,279,9842.0,2810.0,1342.0,11.030219780219781,1
,,,,,,,,280,9815.0,2803.0,1338.0,11.030219780219781,1
,,,,,,,,281,10105.0,2886.0,1378.0,11.030219780219781,1
,,,,,,,,282,11015.0,3146.0,1502.0,11.030219780219781,1
,,,,,,,,283,11357.0,3244.0,1549.0,11.030219780219781,1
,,,,,,,,284,11150.0,3185.0,1520.0,11.030219780219781,1
,,,,,,,,285,10778.0,3078.0,1469.0,11.030219780219781,1
,,,,,,,,286,10113.0,2888.0,1378.0,11.030219780219781,1
,,,,,,,,287,9187.0,2624.0,1252.0,11.030219780219781,1
,,,,,,,,288,8383.0,2394.0,1143.0,11.030219780219781,1
,,,,,,,,289,7882.0,2251.0,1075.0,11.030219780219781,1
,,,,,,,,290,7621.0,2177.0,1039.0,11.030219780219781,1
,,,,,,,,291,7510.0,2145.0,1024.0,11.030219780219781,1
,,,,,,,,292,7532.0,2151.0,1027.0,11.030219780219781,1
,,,,,,,,293,7775.0,2220.0,1060.0,11.030219780219781,1
,,,,,,,,294,8506.0,2429.0,1160.0,11.030219780219781,1
,,,,,,,,295,9834.0,2809.0,1341.0,11.030219780219781,1
,,,,,,,,296,10504.0,3000.0,1432.0,11.030219780219781,1
,,,,,,,,297,10505.0,3000.0,1432.0,11.030219780219781,1
,,,,,,,,298,10390.0,2967.0,1417.0,11.030219780219781,1
,,,,,,,,299,10310.0,2945.0,1405.0,11.030219780219781,1
,,,,,,,,300,10177.0,2906.0,1388.0,11.030219780219781,1
,,,,,,,,301,9970.0,2848.0,1359.0,11.030219780219781,1
,,,,,,,,302,9853.0,2814.0,1343.0,11.030219780219781,1
,,,,,,,,303,9719.0,2775.0,1325.0,11.030219780219781,1
,,,,,,,,304,9674.0,2763.0,1319.0,11.030219780219781,1
,,,,,,,,305,9959.0,2845.0,1358.0,11.030219780219781,1
,,,,,,,,306,10755.0,3071.0,1466.0,11.030219780219781,1
,,,,,,,,307,10886.0,3109.0,1484.0,11.030219780219781,1
,,,,,,,,308,10576.0,3020.0,1442.0,11.030219780219781,1
